language,count,benign_count,threat_count,accuracy,precision,recall,f1
en,31919,15520,16399,0.9966,0.997,0.9965,0.9967
fr,95,47,48,1.0,1.0,1.0,1.0
ca,92,34,58,0.9783,1.0,0.9655,0.9825
es,51,2,49,1.0,1.0,1.0,1.0
nl,48,20,28,0.9583,1.0,0.9286,0.963
pt,42,0,42,1.0,1.0,1.0,1.0
zh,39,20,19,1.0,1.0,1.0,1.0
de,36,7,29,0.9167,1.0,0.8966,0.9455
pl,32,13,19,0.9375,0.9048,1.0,0.95
it,19,10,9,0.9474,0.9,1.0,0.9474
cy,17,2,15,0.9412,1.0,0.9333,0.9655
et,13,9,4,1.0,1.0,1.0,1.0
sv,13,7,6,0.9231,0.8571,1.0,0.9231
ro,12,3,9,1.0,1.0,1.0,1.0
tr,11,0,11,1.0,1.0,1.0,1.0
af,11,3,8,1.0,1.0,1.0,1.0
no,8,3,5,1.0,1.0,1.0,1.0
da,8,4,4,1.0,1.0,1.0,1.0
so,7,3,4,0.8571,0.8,1.0,0.8889
hu,5,0,5,0.8,1.0,0.8,0.8889
